level_0,t,r,Is,p_1,X1_t,Sigma1_coeff,delta,X1_t_orig,X2_t,dcof,Sigma1_coeff_k
0,0.25,0.1,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.49529031890397374,0.0,4
1,0.25,0.1,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.49529031890397374,0.0,4
2,0.25,0.1,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.49529031890397374,0.0,4
3,0.25,0.15000000000000002,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.6066042779275465,0.0,4
4,0.25,0.15000000000000002,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.6066042779275465,0.0,4
5,0.25,0.15000000000000002,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.6066042779275465,0.0,4
6,0.25,0.2,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.700446286306095,0.0,4
7,0.25,0.2,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.700446286306095,0.0,4
8,0.25,0.2,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.700446286306095,0.0,4
9,0.25,0.25,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.7831227553838542,0.0,4
10,0.25,0.25,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.7831227553838542,0.0,4
11,0.25,0.25,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.7831227553838542,0.0,4
12,0.25,0.30000000000000004,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.8578679968386745,0.0,4
13,0.25,0.30000000000000004,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.8578679968386745,0.0,4
14,0.25,0.30000000000000004,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.8578679968386745,0.0,4
15,0.25,0.35,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.9266033401623371,0.0,4
16,0.25,0.35,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.9266033401623371,0.0,4
17,0.25,0.35,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.9266033401623371,0.0,4
18,0.25,0.4,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.9905806378079475,0.0,4
19,0.25,0.4,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.9905806378079475,0.0,4
20,0.25,0.4,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,0.9905806378079475,0.0,4
21,0.25,0.45000000000000007,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.0506694294591425,0.0,4
22,0.25,0.45000000000000007,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.0506694294591425,0.0,4
23,0.25,0.45000000000000007,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.0506694294591425,0.0,4
24,0.25,0.5,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.1075028216668346,0.0,4
25,0.25,0.5,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.1075028216668346,0.0,4
26,0.25,0.5,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.1075028216668346,0.0,4
27,0.25,0.55,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.1615587587375853,0.0,4
28,0.25,0.55,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.1615587587375853,0.0,4
29,0.25,0.55,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.1615587587375853,0.0,4
30,0.25,0.6,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.213208555855093,0.0,4
31,0.25,0.6,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.213208555855093,0.0,4
32,0.25,0.6,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.213208555855093,0.0,4
33,0.25,0.65,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.2627475004924777,0.0,4
34,0.25,0.65,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.2627475004924777,0.0,4
35,0.25,0.65,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.2627475004924777,0.0,4
36,0.25,0.7000000000000001,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.3104150105977876,0.0,4
37,0.25,0.7000000000000001,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.3104150105977876,0.0,4
38,0.25,0.7000000000000001,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.3104150105977876,0.0,4
39,0.25,0.75,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.356408400888169,0.0,4
40,0.25,0.75,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.356408400888169,0.0,4
41,0.25,0.75,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.356408400888169,0.0,4
42,0.25,0.8,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.40089257261219,0.0,4
43,0.25,0.8,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.40089257261219,0.0,4
44,0.25,0.8,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.40089257261219,0.0,4
45,0.25,0.85,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.4440070117558295,0.0,4
46,0.25,0.85,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.4440070117558295,0.0,4
47,0.25,0.85,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.4440070117558295,0.0,4
48,0.25,0.9,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.485870956711921,0.0,4
49,0.25,0.9,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.485870956711921,0.0,4
50,0.25,0.9,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.485870956711921,0.0,4
51,0.25,0.9500000000000001,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.526587288693313,0.0,4
52,0.25,0.9500000000000001,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.526587288693313,0.0,4
53,0.25,0.9500000000000001,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.526587288693313,0.0,4
54,0.25,1.0,157.0,0.25,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.5662455107677085,0.0,4
55,0.25,1.0,157.0,0.5,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.5662455107677085,0.0,4
56,0.25,1.0,157.0,0.75,1.5662455107677085,0.00390625,0.25,3.132491021535417,1.5662455107677085,0.0,4
57,0.5,0.1,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,0.7004462863060951,0.0,4
58,0.5,0.1,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,0.7004462863060951,0.0,4
59,0.5,0.1,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,0.7004462863060951,0.0,4
60,0.5,0.15000000000000002,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,0.8578679968386747,0.0,4
61,0.5,0.15000000000000002,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,0.8578679968386747,0.0,4
62,0.5,0.15000000000000002,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,0.8578679968386747,0.0,4
63,0.5,0.2,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,0.9905806378079476,0.0,4
64,0.5,0.2,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,0.9905806378079476,0.0,4
65,0.5,0.2,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,0.9905806378079476,0.0,4
66,0.5,0.25,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.1075028216668346,0.0,4
67,0.5,0.25,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.1075028216668346,0.0,4
68,0.5,0.25,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.1075028216668346,0.0,4
69,0.5,0.30000000000000004,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.2132085558550931,0.0,4
70,0.5,0.30000000000000004,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.2132085558550931,0.0,4
71,0.5,0.30000000000000004,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.2132085558550931,0.0,4
72,0.5,0.35,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.3104150105977879,0.0,4
73,0.5,0.35,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.3104150105977879,0.0,4
74,0.5,0.35,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.3104150105977879,0.0,4
75,0.5,0.4,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.4008925726121901,0.0,4
76,0.5,0.4,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.4008925726121901,0.0,4
77,0.5,0.4,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.4008925726121901,0.0,4
78,0.5,0.45000000000000007,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.4858709567119215,0.0,4
79,0.5,0.45000000000000007,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.4858709567119215,0.0,4
80,0.5,0.45000000000000007,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.4858709567119215,0.0,4
81,0.5,0.5,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.566245510767709,0.0,4
82,0.5,0.5,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.566245510767709,0.0,4
83,0.5,0.5,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.566245510767709,0.0,4
84,0.5,0.55,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.6426921500999514,0.0,4
85,0.5,0.55,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.6426921500999514,0.0,4
86,0.5,0.55,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.6426921500999514,0.0,4
87,0.5,0.6,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.7157359936773493,0.0,4
88,0.5,0.6,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.7157359936773493,0.0,4
89,0.5,0.6,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.7157359936773493,0.0,4
90,0.5,0.65,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.785794641049189,0.0,4
91,0.5,0.65,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.785794641049189,0.0,4
92,0.5,0.65,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.785794641049189,0.0,4
93,0.5,0.7000000000000001,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.8532066803246747,0.0,4
