level_0,t,r,Is,p_1,X1_t,Sigma1_coeff,delta,X1_t_orig,X2_t,dcof,Sigma1_coeff_k
0,0.25,0.1,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.8902618866178307,0.6,4
1,0.25,0.1,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.8902618866178307,0.6,4
2,0.25,0.1,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,1.8902618866178307,0.6,4
3,0.25,0.15000000000000002,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.221233609956413,0.6,4
4,0.25,0.15000000000000002,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.221233609956413,0.6,4
5,0.25,0.15000000000000002,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.221233609956413,0.6,4
6,0.25,0.2,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.456485294073628,0.6,4
7,0.25,0.2,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.456485294073628,0.6,4
8,0.25,0.2,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.456485294073628,0.6,4
9,0.25,0.25,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.6252678434780705,0.6,4
10,0.25,0.25,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.6252678434780705,0.6,4
11,0.25,0.25,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.6252678434780705,0.6,4
12,0.25,0.30000000000000004,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.7431059038979884,0.6,4
13,0.25,0.30000000000000004,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.7431059038979884,0.6,4
